px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	4.94066e-324
0	0	0	0	0	0	0	0	0	0	0	6.95329e-310
1.55945	-0.138501	0	0	0	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	4.94066e-324
1.62579	0.000987533	0.155695	0.117686	0.103929	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	58.4047
3.56919	0.269953	2.68172	0.0496494	0.00504112	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	33.106
3.64609	0.260729	2.57552	0.00203982	-0.0237876	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	4.52001
6.7994	0.408726	3.41813	0.0739092	0.0328593	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	2.20726
6.67305	0.435625	2.71323	0.0865441	0.0435762	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	3.77271
9.09713	0.601222	2.44138	0.0802048	0.00938686	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.247208
9.06937	0.667006	2.50566	0.115008	0.0339959	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.31182
11.5653	1.62687	2.71223	0.481875	0.254611	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	1.2487
11.5411	1.59692	2.6692	0.46818	0.245972	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.42166
13.6086	2.35259	2.12274	0.446886	0.0777359	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	1.40314
13.6481	2.32711	2.47244	0.412653	0.0501856	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	1.57562
16.5793	2.92207	3.09672	0.0846064	-0.198454	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	2.81315
16.5085	2.90031	2.84258	0.0874065	-0.199034	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	1.07539
19.0282	3.67077	2.56971	0.268604	0.0433826	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	1.49831
19.0857	3.69245	2.56623	0.281007	0.0541537	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.30933
21.3403	4.71752	2.51587	0.485199	0.153144	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.234881
21.4144	4.72733	2.81021	0.469367	0.136038	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	1.07172
24.0605	5.59184	2.81261	0.310993	-0.0544695	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.820264
24.1709	5.62765	3.06071	0.296775	-0.0652159	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	3.02602
26.6353	6.94322	2.75755	0.504831	0.113488	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	1.01875
26.6413	6.93805	2.97696	0.49285	0.0958525	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.493075
29.5536	8.09749	3.24078	0.353575	-0.0638554	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.828655
29.5333	8.09359	3.09488	0.358523	-0.0598435	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.169849
31.9669	9.85133	2.92984	0.67878	0.191345	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	1.53112
31.9313	9.82975	2.96563	0.66886	0.178749	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.807095
34.5886	10.7474	2.62857	0.309917	-0.17909	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	3.15299
34.6943	10.7903	2.93021	0.290125	-0.191785	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.71773
37.1618	12.0573	2.73253	0.449873	0.039242	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	1.35936
37.2478	12.0824	3.00225	0.450612	0.0349585	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.61214
40.2884	13.4557	3.52704	0.417595	-0.0136722	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0.881648
40.2019	13.4306	3.12885	0.430231	-0.0016133	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	1.63491
42.7805	14.8272	2.98034	0.510633	0.0530216	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.137836
42.7693	14.8244	3.10559	0.507334	0.0469033	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.388418
45.3548	16.5436	3.20019	0.625991	0.094237	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.0733379
45.3993	16.5587	3.23435	0.622873	0.0928444	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.665472
48.1585	17.3372	2.6425	0.251197	-0.212779	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	2.90379
48.1406	17.3392	2.73135	0.258739	-0.205112	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.312687
50.6206	19.0016	2.85318	0.676336	0.214414	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	4.12865
50.6157	18.988	2.97802	0.661798	0.195756	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.305414
53.6696	19.9342	3.0413	0.204774	-0.234581	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	4.34711
53.6327	19.9102	2.84226	0.204366	-0.240645	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.403586
56.0513	21.0484	2.58257	0.410246	0.0528278	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	2.15993
56.0286	21.0358	2.65404	0.403257	0.0448082	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.430076
58.6438	21.7956	2.80777	0.256419	-0.0809671	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0.437899
58.647	21.7988	2.84194	0.257677	-0.0794646	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.018217
